family,instance,algorithm,seed,cutoff,runtime_sec,cover_size,ref_value,rel_err,solution_file,trace_file
small,small6,LS2,15,2,0.23650012499999207,20,20,0.0,small6_LS2_2_15.sol,small6_LS2_2_15.trace
small,small6,LS2,16,2,0.14035304200000098,20,20,0.0,small6_LS2_2_16.sol,small6_LS2_2_16.trace
small,small6,LS2,17,2,0.06232020800000271,20,20,0.0,small6_LS2_2_17.sol,small6_LS2_2_17.trace
small,small6,LS2,18,2,0.0538910419999894,20,20,0.0,small6_LS2_2_18.sol,small6_LS2_2_18.trace
small,small6,LS2,19,2,0.09171804199999656,20,20,0.0,small6_LS2_2_19.sol,small6_LS2_2_19.trace
small,small6,LS2,20,2,0.0725182909999944,20,20,0.0,small6_LS2_2_20.sol,small6_LS2_2_20.trace
small,small7,Approx,1,2,0.04303370799999584,20,20,0.0,small7_Approx_2.sol,
small,small7,BnB,1,2,0.07848033299998747,20,20,0.0,small7_BnB_2.sol,small7_BnB_2.trace
small,small7,LS1,1,2,0.11892120800000328,20,20,0.0,small7_LS1_2_1.sol,small7_LS1_2_1.trace
small,small7,LS1,2,2,0.09203825000000165,20,20,0.0,small7_LS1_2_2.sol,small7_LS1_2_2.trace
small,small7,LS1,3,2,0.07977533400000425,20,20,0.0,small7_LS1_2_3.sol,small7_LS1_2_3.trace
small,small7,LS1,4,2,0.15018416700000614,20,20,0.0,small7_LS1_2_4.sol,small7_LS1_2_4.trace
small,small7,LS1,5,2,0.1336560830000053,20,20,0.0,small7_LS1_2_5.sol,small7_LS1_2_5.trace
small,small7,LS1,6,2,0.0731344579999984,20,20,0.0,small7_LS1_2_6.sol,small7_LS1_2_6.trace
small,small7,LS1,7,2,0.05208025000000305,20,20,0.0,small7_LS1_2_7.sol,small7_LS1_2_7.trace
small,small7,LS1,8,2,0.06108245800000134,20,20,0.0,small7_LS1_2_8.sol,small7_LS1_2_8.trace
small,small7,LS1,9,2,0.0801094159999991,20,20,0.0,small7_LS1_2_9.sol,small7_LS1_2_9.trace
small,small7,LS1,10,2,0.05887941699999999,20,20,0.0,small7_LS1_2_10.sol,small7_LS1_2_10.trace
small,small7,LS1,11,2,0.052957040999999094,20,20,0.0,small7_LS1_2_11.sol,small7_LS1_2_11.trace
small,small7,LS1,12,2,0.08080695900000023,20,20,0.0,small7_LS1_2_12.sol,small7_LS1_2_12.trace
small,small7,LS1,13,2,0.07905245900001034,20,20,0.0,small7_LS1_2_13.sol,small7_LS1_2_13.trace
small,small7,LS1,14,2,0.08741520799999591,20,20,0.0,small7_LS1_2_14.sol,small7_LS1_2_14.trace
small,small7,LS1,15,2,0.05669008299999234,20,20,0.0,small7_LS1_2_15.sol,small7_LS1_2_15.trace
small,small7,LS1,16,2,0.06945770800000162,20,20,0.0,small7_LS1_2_16.sol,small7_LS1_2_16.trace
small,small7,LS1,17,2,0.06657016699999474,20,20,0.0,small7_LS1_2_17.sol,small7_LS1_2_17.trace
small,small7,LS1,18,2,0.07797679199998697,20,20,0.0,small7_LS1_2_18.sol,small7_LS1_2_18.trace
small,small7,LS1,19,2,0.11255045800000119,20,20,0.0,small7_LS1_2_19.sol,small7_LS1_2_19.trace
small,small7,LS1,20,2,0.09663704199999756,20,20,0.0,small7_LS1_2_20.sol,small7_LS1_2_20.trace
